gege be ,	nv::nv cm::acc mark::comma
sanca bai re niyalma be ,	nv::nv verb::vv e::npst.ptcp nv::nv cm::acc mark::comma
orin emu ihan ,	nv::nv nv::nv nv::nv mark::comma
amba_beile gai fi okdo me gene re de ,	nn::prpn verb::vv e::cve verb::vv e::cve verb::vv e::npst.ptcp cm::dat mark::comma
hehe duin ji he ,	nv::nv nv::nv verb::vv e::pst.ptcp mark::comma
weile he jeku i dabala ,	verb::vv e::pst.ptcp nv::nv cm::gen ptcl mark::comma
nio_juwang de emte gene ∅ ,	nn::prpn cm::dat nv::nv verb::vv e::fve.imperative mark::comma
emu feye sacibu ha seme juwan nadan yan i weile waliya mbi ,	nv::nv nv::nv verb::vv e::pst.ptcp comp nv::nv nv::nv nv::nv cm::gen nv::nv verb::vv e::fve.npst mark::comma
yargiyan cooha jura ka mejige ji ci ,	nv::adj nv::nv verb::vv e::pst.ptcp nv::nv verb::vv e::cve mark::comma
muse dain waka kai ,	pn::1pl.incl nv::nv nv::adj ptcl mark::comma
da ci dele benji re an i jaka be ,	nv::nv cm::abl nv::nv verb::vv e::npst.ptcp nv::nv cm::gen nv::nv cm::acc mark::comma
han i jase tuci ke niyalma be sa fi wa rakū ci ,	nv::nv cm::gen nv::nv verb::vv e::pst.ptcp nv::nv cm::acc verb::vv e::cve verb::vv e::npst.ptcp.neg e::cve mark::comma
šanapu i beiguwan jang_u_lin habša ra ngge ,	nn::prpn.plc cm::gen nv::nv nn::prpn verb::vv e::npst.ptcp nmlz::nmlz mark::comma
in i ama de aca rakū ci ,	pn::3sg cm::gen nv::nv cm::dat verb::vv e::npst.ptcp.neg e::cve mark::comma
tere ci nikan han i dolo jobo me bisi re de ,	nv::nv cm::abl nv::nv nv::nv cm::gen nv::nv verb::vv e::cve verb::vv e::npst.ptcp cm::dat mark::comma
nene me gala axša ci ,	verb::vv e::cve nv::nv verb::vv e::cve mark::comma
hoifa i baindari de bu mbi seme sadun ci hūwakiya ha ,	nn::prpn.plc cm::gen nn::prpn.person cm::dat verb::vv e::fve.npst comp nv::nv cm::abl verb::vv e::pst.ptcp mark::comma
tere gene he niyalma ,	nv::nv verb::vv e::pst.ptcp nv::nv mark::comma
jeku be hadu me wacihiya fi tūbu he ,	nv::nv cm::acc verb::vv e::cve verb::vv e::cve verb::vv e::pst.ptcp mark::comma
mahaltu_ninggu ci ebsi ,	nn::prpn cm::abl nv::nv mark::comma
tungken ,	nv::nv mark::comma
suwe ainu gisure mbi ,	pn::2pl nv::nv verb::vv e::fve.npst mark::comma
emu ciyandzung de duin niyalma ,	nv::nv nv::nv cm::dat nv::nv nv::nv mark::comma
jai ,	nv::nv mark::comma
○ ineku tere inenggi ,	mark::circle nv::nv nv::nv nv::nv mark::comma
deo beile ,	nv::nv nv::nv mark::comma
nikan gurun i wan_lii_han i dehi nadan tumen cooha de ,	nv::nv nv::nv cm::gen nn::prpn cm::gen nv::nv nv::nv nv::nv nv::nv cm::dat mark::comma
han i jui beile se amban sa ,	nv::nv cm::gen nv::nv nv::nv nv::nv nv::nv nv::nv mark::comma
ahūn de usha me bisi re de ,	nv::nv cm::dat verb::vv e::cve verb::vv e::npst.ptcp cm::dat mark::comma
hecen ci tuci fi bira i cikin de ili mbi ,	nv::nv cm::abl verb::vv e::cve nv::nv cm::gen nv::nv cm::dat verb::vv e::fve.npst mark::comma
tenteke niyalma ,	nv::nv nv::nv mark::comma
beri sirdan ,	nv::nv nv::nv mark::comma
niyaman hūncihin de juwan niyalma ji he ,	nv::nv nv::nv cm::dat nv::nv nv::nv verb::vv e::pst.ptcp mark::comma
yecen ,	nn::prpn.person mark::comma
min i kadala ra emu niru i cooha be iogi tsanjiyang ci fakca rakū ,	pn::1sg cm::gen verb::vv e::npst.ptcp nv::nv nv::nv cm::gen nv::nv cm::acc nv::nv nv::nv cm::abl verb::vv e::npst.ptcp.neg mark::comma
sile yaya emke ,	nv::nv nv::nv nv::nv mark::comma
gisure he gisun de isibu rakū ba de ,	verb::vv e::pst.ptcp nv::nv cm::dat verb::vv e::npst.ptcp.neg nv::nv cm::dat mark::comma
cifun gaija ra ,	nv::nv verb::vv e::npst.ptcp mark::comma
nikan ,	nv::nv mark::comma
han de waka sabu fi weile baha fi boo yada kini ,	nv::nv cm::dat nv::adj verb::vv e::cve nv::nv verb::vv e::cve nv::nv verb::vv e::fve.opt mark::comma
gurbusi_efu i gese bu mbi ,	nn::prpn cm::gen nv::nv verb::vv e::fve.npst mark::comma
mujilen be amban onco obu fi ,	nv::nv cm::acc nv::nv nv::adj verb::vv e::cve mark::comma
kūrcan de ilan hule maise unggi ∅ se he bi he ,	nv::nv cm::dat nv::nv nv::nv nv::nv verb::vv e::fve.imperative verb::vv e::pst.ptcp verb::vv e::pst.ptcp mark::comma
sahalca seke haya ha hū ha jibca emte ,	nv::nv nv::nv verb::vv e::pst.ptcp verb::vv e::pst.ptcp nv::nv nv::nv mark::comma
baduhū i gūsin yan i gung be jaciba ji fi faita ha .	nn::prpn.person cm::gen nv::nv nv::nv cm::gen nv::nv cm::acc nn::prpn.person verb::vv e::cve verb::vv e::pst.ptcp mark::period
han hendu me ,	nv::nv verb::vv e::cve mark::comma
tere gemu abka i acabu me gama ha weile kai ,	nv::nv nv::nv nv::nv cm::gen verb::vv e::cve verb::vv e::pst.ptcp nv::nv ptcl mark::comma
ninju pinggu benji he .	nv::nv nv::nv verb::vv e::pst.ptcp mark::period
jai ehe kiyangdu hūlha holo ,	nv::nv nv::adj nv::adj nv::nv nv::nv mark::comma
bakcin i niyalma akū o ci ,	nv::nv cm::gen nv::nv nv::adj verb::vv e::cve mark::comma
ilaci jergi iogi de juwete ihan ,	nv::nv nv::nv nv::nv cm::dat nv::nv nv::nv mark::comma
cen i gurun be daila ci ete rakū adali afa ci mute rakū aca ki seme takūra ra adali gūni me ,	pn::3pl cm::gen nv::nv cm::acc verb::vv e::cve verb::vv e::npst.ptcp.neg nv::adj verb::vv e::cve verb::vv e::npst.ptcp.neg verb::vv e::fve.opt comp verb::vv e::npst.ptcp nv::adj verb::vv e::cve mark::comma
ere šurde me baha ci waji ha ,	nv::nv verb::vv e::cve verb::vv e::cve verb::vv e::pst.ptcp mark::comma
io_tun_wei haha be ,	nn::prpn nv::nv cm::acc mark::comma
beile se ,	nv::nv nv::nv mark::comma
muke juwe re hehe sunja juru ,	nv::nv verb::vv e::npst.ptcp nv::nv nv::nv nv::nv mark::comma
han i jaka de urut beile se suwe ji ki se ci ,	nv::nv cm::gen nv::nv cm::dat nn::prpn.plc nv::nv nv::nv pn::2pl verb::vv e::fve.opt verb::vv e::cve mark::comma
aga me ing guri ci ojo rakū ,	verb::vv e::cve nv::nv verb::vv e::cve verb::vv e::npst.ptcp.neg mark::comma
jeku bi fi juwe me unca ci ,	nv::nv verb::vv e::cve verb::vv e::cve verb::vv e::cve mark::comma
urut i beile se in i monggo gurun i han be ehe ,	nn::prpn.plc cm::gen nv::nv nv::nv pn::3sg cm::gen nv::nv nv::nv cm::gen nv::nv cm::acc nv::adj mark::comma
uru be waka ,	nv::nv cm::acc nv::adj mark::comma
kalka men de ji ci ,	nv::nv pn::1pl.excl cm::dat verb::vv e::cve mark::comma
hailun ilan ,	nv::nv nv::nv mark::comma
gida ha manggi ,	verb::vv e::pst.ptcp nv::nv mark::comma
afabu ha weile be mute mbi ,	verb::vv e::pst.ptcp nv::nv cm::acc verb::vv e::fve.npst mark::comma
jase dolo dosi fi yabu ci ,	nv::nv nv::nv verb::vv e::cve verb::vv e::cve mark::comma
○ langse be ,	mark::circle nv::adj cm::acc mark::comma
niru i ejen i daise ciyandzung de jakūta ,	nv::nv cm::gen nv::nv cm::gen nv::nv nv::nv cm::dat nv::nv mark::comma
hūlha holo koimali jalingga akū tondo banji ki .	nv::nv nv::nv nv::adj nv::adj nv::adj nv::adj verb::vv e::fve.opt mark::period
han i pai be gai fi ,	nv::nv cm::gen nv::nv cm::acc verb::vv e::cve mark::comma
hehe niyalma de mujilen bahabu me ,	nv::nv nv::nv cm::dat nv::nv verb::vv e::cve mark::comma
emu jergi buce re weile be guwebu mbi .	nv::nv nv::nv verb::vv e::npst.ptcp nv::nv cm::acc verb::vv e::fve.npst mark::period
beile se amban sa geren cooha be gai fi amasi bedere he ,	nv::nv nv::nv nv::nv nv::nv nv::adj nv::nv cm::acc verb::vv e::cve nv::nv verb::vv e::pst.ptcp mark::comma
min i da ci banji ha jurgan ,	pn::1sg cm::gen nv::nv cm::abl verb::vv e::pst.ptcp nv::nv mark::comma
alun_wei i du_jy_hūi_ciyanši udingge i omolo yantai ,	nn::prpn cm::gen nv::nv nn::prpn.person cm::gen nv::nv nn::prpn.person mark::comma
min i juse omosi jalan hala me han de gosibu me wesihun banji kini .	pn::1sg cm::gen nv::nv nv::nv nv::nv verb::vv e::cve nv::nv cm::dat verb::vv e::cve nv::nv verb::vv e::fve.opt mark::period
jai duici_beile i baru hendu me ,	nv::nv nn::prpn cm::gen nv::nv verb::vv e::cve mark::comma
labsi ,	nn::prpn.person mark::comma
beye ajigen solho alašan be sonjo fi ,	nv::nv nv::adj nv::nv nv::adj cm::acc verb::vv e::cve mark::comma
hoifa de emu feye baha ha seme uyute yan i weile waliya mbi ,	nn::prpn.plc cm::dat nv::nv nv::nv verb::vv e::pst.ptcp comp nv::nv nv::nv cm::gen nv::nv verb::vv e::fve.npst mark::comma
○ hūngniyaka be ,	mark::circle nn::prpn.person cm::acc mark::comma
nikan cooha i amargi dube de dosi fi ,	nv::nv nv::nv cm::gen nv::nv nv::nv cm::dat verb::vv e::cve mark::comma
argio janggin ,	nn::prpn.person nv::nv mark::comma
niyaman hūncihin seme harša rakū ,	nv::nv nv::nv comp verb::vv e::npst.ptcp.neg mark::comma
g'ai_jeo de bisi re alban i jeku orho be ,	nn::prpn cm::dat verb::vv e::npst.ptcp nv::nv cm::gen nv::nv nv::nv cm::acc mark::comma
baibi sain seme holto me jabu fi aina mbi ,	nv::nv nv::adj comp verb::vv e::cve verb::vv e::cve verb::vv e::fve.npst mark::comma
daila fi cooha be gemu wa ha ,	verb::vv e::cve nv::nv cm::acc nv::nv verb::vv e::pst.ptcp mark::comma
juwe amji duin mama de urun i doro i hengkile he ,	nv::nv nv::nv nv::nv nv::nv cm::dat nv::nv cm::gen nv::nv cm::gen verb::vv e::pst.ptcp mark::comma
sin i emu niyalma i gisun de adarame akda fi beide mbi ,	pn::2sg cm::gen nv::nv nv::nv cm::gen nv::nv cm::dat nv::nv verb::vv e::cve verb::vv e::fve.npst mark::comma
in i jui yoto i dasa ha ba be dasa me dasa fi te ki seme hendu he manggi ,	pn::3sg cm::gen nv::nv nn::prpn.person cm::gen verb::vv e::pst.ptcp nv::nv cm::acc verb::vv e::cve verb::vv e::cve verb::vv e::fve.opt comp verb::vv e::pst.ptcp nv::nv mark::comma
cergei ,	nn::prpn.person mark::comma
uheri jakūn uksin ,	nv::nv nv::nv nv::nv mark::comma
yarga be golo i amban ci wasibu fi ,	nv::nv cm::acc nv::nv cm::gen nv::nv cm::abl verb::vv e::cve mark::comma
giyaha de menggušen gai fi te he emu tanggū yafahan be ,	nn::prpn.plc cm::dat nn::prpn.person verb::vv e::cve verb::vv e::pst.ptcp nv::nv nv::nv nv::adj cm::acc mark::comma
juwe sadun ulha ambula wa kini ,	nv::nv nv::nv nv::nv nv::nv verb::vv e::fve.opt mark::comma
min de cooha ganji ∅ ,	pn::1sg cm::dat nv::nv verb::vv e::fve.imperative mark::comma
○ fokota be wesibu fi beiguwan obu ha ,	mark::circle nn::prpn.person cm::acc verb::vv e::cve nv::nv verb::vv e::pst.ptcp mark::comma
abka waka be wakala me uru be urule me ,	nv::nv nv::adj cm::acc verb::vv e::cve nv::nv cm::acc verb::vv e::cve mark::comma
tere gisun be ainu dabu rakū ,	nv::nv nv::nv cm::acc nv::nv verb::vv e::npst.ptcp.neg mark::comma
baha ra ubu ci enteheme nakabu mbi ,	verb::vv e::npst.ptcp nv::nv cm::abl nv::nv verb::vv e::fve.npst mark::comma
wan_lii i orin nadaci aniya juwe biya i ice uyun de baha ha ,	nn::prpn cm::gen nv::nv nv::nv nv::nv nv::nv nv::nv cm::gen nv::adj nv::nv cm::dat verb::vv e::pst.ptcp mark::comma
jai duin gio ,	nv::nv nv::nv nv::nv mark::comma
sure_kundulen_han i beye de banji ha mukusi_gege be geli bujantai de bu he .	nn::prpn cm::gen nv::nv cm::dat verb::vv e::pst.ptcp nn::prpn cm::acc nv::nv nn::prpn.person cm::dat verb::vv e::pst.ptcp mark::period
emu gašan hūwa_pi_ioi ,	nv::nv nv::nv nn::prpn mark::comma
sangtu i ama i ara ha weile be we wacihiya habi ,	nn::prpn.person cm::gen nv::nv cm::gen verb::vv e::pst.ptcp nv::nv cm::acc nv::nv verb::vv e::fve.prs.prf mark::comma
yarga i boco oilo ,	nv::nv cm::gen nv::nv nv::nv mark::comma
munggu be wasibu fi cooha de dabu rakū ,	nn::prpn.person cm::acc verb::vv e::cve nv::nv cm::dat verb::vv e::npst.ptcp.neg mark::comma
emu juwe niyalma bulca me uka me gūwa niru i emgi fere de yabu ha de ,	nv::nv nv::nv nv::nv verb::vv e::cve verb::vv e::cve nv::nv nv::nv cm::gen nv::nv nv::nv cm::dat verb::vv e::pst.ptcp cm::dat mark::comma
iogi ,	nv::nv mark::comma
hūlha holo koimali jalingga akū tondo i banji ki .	nv::nv nv::nv nv::adj nv::adj nv::adj nv::adj cm::gen verb::vv e::fve.opt mark::period
alban i jeku ,	nv::nv cm::gen nv::nv mark::comma
aika baita de takūra ha hafan sa i funde deote juse yamula ∅ ,	nv::nv nv::nv cm::dat verb::vv e::pst.ptcp nv::nv nv::nv cm::gen nv::nv nv::nv nv::nv verb::vv e::fve.imperative mark::comma
turgei dzung_bing_guwan de ,	nn::prpn.person nv::nv cm::dat mark::comma
tere bele be jase i tulergi deli_wehe de bene ∅ ,	nv::nv nv::nv cm::acc nv::nv cm::gen nv::nv nn::prpn cm::dat verb::vv e::fve.imperative mark::comma
in i non be han i jui degelei_taiji de sargan benji he bi he .	pn::3sg cm::gen nv::nv cm::acc nv::nv cm::gen nv::nv nn::prpn cm::dat nv::nv verb::vv e::pst.ptcp verb::vv e::pst.ptcp mark::period
si_mu_ceng ni ergi de anafu tene fi ,	nn::prpn cm::gen nv::nv cm::dat nv::nv verb::vv e::cve mark::comma
badamu ,	nn::prpn.person mark::comma
muse de kimungge nikan gurun be daila ki seme unggi he bi ci sain bi he kai ,	pn::1pl.incl cm::dat nv::adj nv::nv nv::nv cm::acc verb::vv e::fve.opt comp verb::vv e::pst.ptcp verb::vv e::cve nv::adj verb::vv e::pst.ptcp ptcl mark::comma
wa rakū niyalma de sui isi kini seme gashū ha bi he ,	verb::vv e::npst.ptcp.neg nv::nv cm::dat nv::nv verb::vv e::fve.opt comp verb::vv e::pst.ptcp verb::vv e::pst.ptcp mark::comma
aikabade ufara ha de ,	nv::nv verb::vv e::pst.ptcp cm::dat mark::comma
○ fujisa ,	mark::circle nv::nv mark::comma
iogi gai fi fujiyang de yamula ∅ ,	nv::nv verb::vv e::cve nv::nv cm::dat verb::vv e::fve.imperative mark::comma
ciyandzung emte ,	nv::nv nv::nv mark::comma
han i tacibu ha tondo fafun be jurce rakū banji ci ,	nv::nv cm::gen verb::vv e::pst.ptcp nv::adj nv::nv cm::acc verb::vv e::npst.ptcp.neg verb::vv e::cve mark::comma
ilaci jergi iogi obu ha ,	nv::nv nv::nv nv::nv verb::vv e::pst.ptcp mark::comma
weile he jeku i dabala ,	verb::vv e::pst.ptcp nv::nv cm::gen ptcl mark::comma
ing hada fi bisi re de ,	nv::nv verb::vv e::cve verb::vv e::npst.ptcp cm::dat mark::comma
ihan honin wa me sarila ha .	nv::nv nv::nv verb::vv e::cve verb::vv e::pst.ptcp mark::period
jakūn wang de ala mbi ,	nv::nv nv::nv cm::dat verb::vv e::fve.npst mark::comma
geren buya cooha i niyalma i boo ,	nv::adj nv::adj nv::nv cm::gen nv::nv cm::gen nv::nv mark::comma
bodonggo i weile baha ha turgun de ,	nv::nv cm::gen nv::nv verb::vv e::pst.ptcp nv::nv cm::dat mark::comma
min i tondo uru be uru ara me ,	pn::1sg cm::gen nv::adj nv::nv cm::acc nv::nv verb::vv e::cve mark::comma
weile he jeku i dabala ,	verb::vv e::pst.ptcp nv::nv cm::gen ptcl mark::comma
sula usin bisi re ba de usin tari me gene kini ,	nv::adj nv::nv verb::vv e::npst.ptcp nv::nv cm::dat nv::nv verb::vv e::cve verb::vv e::fve.opt mark::comma
fujiyang de sunjata bu he tsanjiyang de duite bu he ,	nv::nv cm::dat nv::nv verb::vv e::pst.ptcp nv::nv cm::dat nv::nv verb::vv e::pst.ptcp mark::comma
amaga juse omosi jalan hala me sain uji kini seme hendu re gisun ere inu ,	nv::adj nv::nv nv::nv nv::nv verb::vv e::cve nv::adj verb::vv e::fve.opt comp verb::vv e::npst.ptcp nv::nv nv::nv nv::nv mark::comma
tondo sain jurgan be yabu rakū ,	nv::adj nv::adj nv::nv cm::acc verb::vv e::npst.ptcp.neg mark::comma
○ sunja tatan i kalka i beile se ,	mark::circle nv::nv nv::nv cm::gen nv::nv cm::gen nv::nv nv::nv mark::comma
monggo i uka me ji he niyalma de ,	nv::nv cm::gen verb::vv e::cve verb::vv e::pst.ptcp nv::nv cm::dat mark::comma
soninai i elcin ,	nn::prpn.person cm::gen nv::nv mark::comma
han hendu me ,	nv::nv verb::vv e::cve mark::comma
suwe kimci me baica rakū ,	pn::2pl verb::vv e::cve verb::vv e::npst.ptcp.neg mark::comma
niyalma i beye i gese šumin juwan jergi eye fete hebi ,	nv::nv cm::gen nv::nv cm::gen nv::nv nv::adj nv::nv nv::nv nv::nv verb::vv e::fve.prs.prf mark::comma
ahūn sure_kundulen_han hendu me ,	nv::nv nn::prpn verb::vv e::cve mark::comma
jušen nikan yaya sa ha niyalma jafa fi benji ∅ ,	nv::nv nv::nv nv::nv verb::vv e::pst.ptcp nv::nv verb::vv e::cve verb::vv e::fve.imperative mark::comma
iogi ušan ,	nv::nv nn::prpn.person mark::comma
koro ambula o fi deribu he ,	nv::nv nv::nv verb::vv e::cve verb::vv e::pst.ptcp mark::comma
hashū ergi duin gūsa i cooha ,	nv::nv nv::nv nv::nv nv::nv cm::gen nv::nv mark::comma
jušen nikan be dende fi ,	nv::nv nv::nv cm::acc verb::vv e::cve mark::comma
han i beye weihu de te fi ,	nv::nv cm::gen nv::nv nv::nv cm::dat verb::vv e::cve mark::comma
enggeder_efu i emgi efu i boigon gana me gene he ,	nn::prpn cm::gen nv::nv nv::nv cm::gen nv::nv verb::vv e::cve verb::vv e::pst.ptcp mark::comma
nikan i aika jaka be ume cuwangna ra ,	nv::nv cm::gen nv::nv nv::nv cm::acc nv::nv verb::vv e::npst.ptcp mark::comma
men i solho gurun be jobobu re singgeri hūlha kai ,	pn::1pl.excl cm::gen nv::nv nv::nv cm::acc verb::vv e::npst.ptcp nv::nv nv::nv ptcl mark::comma
daila ra jaka de ,	verb::vv e::npst.ptcp nv::nv cm::dat mark::comma
emu ciyandzung ,	nv::nv nv::nv mark::comma
amin_beile i jao_iogi juwe weihun gio ,	nn::prpn cm::gen nn::prpn nv::nv nv::adj nv::nv mark::comma
emu dangse seme ala ha manggi ,	nv::nv nv::nv comp verb::vv e::pst.ptcp nv::nv mark::comma
sin i ehe be bi ai gūni re ,	pn::2sg cm::gen nv::adj cm::acc pn::1sg nv::nv verb::vv e::npst.ptcp mark::comma
ulhu buta ra bigara me juwe ilan biya yabu re niyalma de ulebu hebi o ,	nv::nv verb::vv e::npst.ptcp verb::vv e::cve nv::nv nv::nv nv::nv verb::vv e::npst.ptcp nv::nv cm::dat verb::vv e::fve.prs.prf ptcl mark::comma
min i beye i teile hengkile me okdo ko ,	pn::1sg cm::gen nv::nv cm::gen nv::nv verb::vv e::cve verb::vv e::pst.ptcp mark::comma
cuwan de siltan moo ume sinda ra ,	nv::nv cm::dat nv::nv nv::nv nv::nv verb::vv e::npst.ptcp mark::comma
amba_beile hendu me ,	nn::prpn verb::vv e::cve mark::comma
ulin de amuran o fi ,	nv::nv cm::dat nv::adj verb::vv e::cve mark::comma
suje boso ambula bu fi unggi he .	nv::nv nv::nv nv::nv verb::vv e::cve verb::vv e::pst.ptcp mark::period
efu de eje he ,	nv::nv cm::dat verb::vv e::pst.ptcp mark::comma
○ ice uyun de ,	mark::circle nv::adj nv::nv cm::dat mark::comma
gabula ,	nv::nv mark::comma
kalka i jongnon_beile i jui se i elcin ilan niyalma ,	nv::nv cm::gen nn::prpn cm::gen nv::nv nv::nv cm::gen nv::nv nv::nv nv::nv mark::comma
wan_lii i nadaci aniya ninggun biya i juwan juwe de baha ha ,	nn::prpn cm::gen nv::nv nv::nv nv::nv nv::nv cm::gen nv::nv nv::nv cm::dat verb::vv e::pst.ptcp mark::comma
jao_fung_tsy ,	nn::prpn mark::comma
han ,	nv::nv mark::comma
leke i baru emu ubu .	nn::prpn.plc cm::gen nv::nv nv::nv nv::nv mark::period
jai geli gucuse i baru hendu me ,	nv::nv nv::nv nv::nv cm::gen nv::nv verb::vv e::cve mark::comma
elcin ,	nv::nv mark::comma
ese de duite bu he ,	nv::nv cm::dat nv::nv verb::vv e::pst.ptcp mark::comma
emgi acabu fi ping_lu_pu ci wasihūn ,	nv::nv verb::vv e::cve nn::prpn cm::abl nv::nv mark::comma
ilan suje ,	nv::nv nv::nv mark::comma
te edun amban ,	nv::nv nv::nv nv::nv mark::comma
jang_iogi ,	nn::prpn mark::comma
ukanju halbu ha niyalma hūlha kai ,	nv::nv verb::vv e::pst.ptcp nv::nv nv::nv ptcl mark::comma
emu jergi buce re weile be guwebu mbi .	nv::nv nv::nv verb::vv e::npst.ptcp nv::nv cm::acc verb::vv e::fve.npst mark::period
du_tang ,	nv::nv mark::comma
○ bashan be ,	mark::circle nn::prpn.person cm::acc mark::comma
ši_dzui_pu ,	nn::prpn mark::comma
cooha gene he han ama be deote be sunja amban be firu me bithe ara fi abka na de deiji fi ,	nv::nv verb::vv e::pst.ptcp nv::nv nv::nv cm::acc nv::nv cm::acc nv::nv nv::nv cm::acc verb::vv e::cve nv::nv verb::vv e::cve nv::nv nv::nv cm::dat verb::vv e::cve mark::comma
baigal_beile i jakūn boigon ,	nn::prpn cm::gen nv::nv nv::nv mark::comma
afabu ha weile be mute mbi ,	verb::vv e::pst.ptcp nv::nv cm::acc verb::vv e::fve.npst mark::comma
enggeder_efu ,	nn::prpn mark::comma
hergen wasibu re be gemu naka fi ,	nv::nv verb::vv e::npst.ptcp cm::acc nv::nv verb::vv e::cve mark::comma
šanggiyatu ,	nn::prpn.person mark::comma
nikasa de wasimbu ha gisun ,	nv::nv cm::dat verb::vv e::pst.ptcp nv::nv mark::comma
dumbai ,	nn::prpn.person mark::comma
haha be gemu wa ∅ ,	nv::nv cm::acc nv::nv verb::vv e::fve.imperative mark::comma
○ hiong_ciyan ,	mark::circle nn::prpn mark::comma
dobori o ci ,	nv::nv verb::vv e::cve mark::comma
ginjeo i lii_diyan_kui ,	nn::prpn.plc cm::gen nn::prpn mark::comma
han i bithe ,	nv::nv cm::gen nv::nv mark::comma
marahū ,	nn::prpn.person mark::comma
gūsita mocin bu he .	nv::nv nv::nv verb::vv e::pst.ptcp mark::period
gurun gucu be ,	nv::nv nv::nv cm::acc mark::comma
urikan ,	nn::prpn.person mark::comma
giyamsu janggin ,	nn::prpn.person nv::nv mark::comma
jeku juwe re yehe de bi he niyalma be ,	nv::nv verb::vv e::npst.ptcp nv::nv cm::dat verb::vv e::pst.ptcp nv::nv cm::acc mark::comma
manggūldai ,	nn::prpn.person mark::comma
alca ,	nn::prpn.person mark::comma
○ gulu fulgiyan i gūsa i bargiya ra ba ,	mark::circle nv::adj nv::nv cm::gen nv::nv cm::gen verb::vv e::npst.ptcp nv::nv mark::comma
ere gisun be jurce ci ,	nv::nv nv::nv cm::acc verb::vv e::cve mark::comma
juwe morin ,	nv::nv nv::nv mark::comma
girin_hada be ka habi seme alanji ha ,	nn::prpn cm::acc verb::vv e::fve.prs.prf comp verb::vv e::pst.ptcp mark::comma
tuwa fi gene kini seme tuttu jortai efibu he .	verb::vv e::cve verb::vv e::fve.opt comp nv::nv nv::nv verb::vv e::pst.ptcp mark::period
jai emu tanggū dehi adun be bu hekū ,	nv::nv nv::nv nv::nv nv::nv nv::nv cm::acc verb::vv e::pst.ptcp.neg mark::comma
afabu ha weile be mute mbi ,	verb::vv e::pst.ptcp nv::nv cm::acc verb::vv e::fve.npst mark::comma
liyoha ci ebsi ,	nn::prpn.plc cm::abl nv::nv mark::comma
uji re faksi niyalma de afabu fi tuwakiyabu ∅ ,	verb::vv e::npst.ptcp nv::nv nv::nv cm::dat verb::vv e::cve verb::vv e::fve.imperative mark::comma
○ jušen i alban i ihan ,	mark::circle nv::nv cm::gen nv::nv cm::gen nv::nv mark::comma
ordo_hada de sunja niru .	nn::prpn cm::dat nv::nv nv::nv mark::period
juwan haha de emu niyalma tuci fi weile mbi kai ,	nv::nv nv::nv cm::dat nv::nv nv::nv verb::vv e::cve verb::vv e::fve.npst ptcl mark::comma
den hashan ,	nv::adj nv::nv mark::comma
nimaha bai re juwan niyalma ,	nv::nv verb::vv e::npst.ptcp nv::nv nv::nv mark::comma
lung_king ni ilaci aniya ninggun biya i ice uyun de baha ha hai_si ša_ho_wei i du_jy_hūi_tungjy iliki i omolo obo ,	nn::prpn cm::gen nv::nv nv::nv nv::nv nv::nv cm::gen nv::adj nv::nv cm::dat verb::vv e::pst.ptcp nn::prpn nn::prpn cm::gen nv::nv nn::prpn.person cm::gen nv::nv nn::prpn.person mark::comma
korcin i manggūs_beile i sargan jui be ,	nn::prpn.plc cm::gen nn::prpn cm::gen nv::nv nv::nv cm::acc mark::comma
jaisanggū ,	nn::prpn.person mark::comma
sin i gisun be daha rakū ci ,	pn::2sg cm::gen nv::nv cm::acc verb::vv e::npst.ptcp.neg e::cve mark::comma
min i aisin tana be sin i uju beye ete rakū dasa fi ,	pn::1sg cm::gen nv::nv nv::nv cm::acc pn::2sg cm::gen nv::nv nv::nv verb::vv e::npst.ptcp.neg verb::vv e::cve mark::comma
