gege be ,	nv::nv cm::acc mark::comma
niyalma be wa me ulha be gai mbi kai ,	nv::nv cm::acc verb::vv e::cve nv::nv cm::acc verb::vv e::fve.npst ptcl mark::comma
min i aisin_gioro halangga niyalma de gala isi ka kooli bi ci ,	pn::1sg cm::gen nn::prpn nv::adj nv::nv cm::dat nv::nv verb::vv e::pst.ptcp nv::nv verb::vv e::cve mark::comma
amala gercile he seme weile akū .	nv::nv verb::vv e::pst.ptcp comp nv::nv nv::adj mark::period
gūsa i amban sa gemu sa mbi seme han de wesimbu re jaka de ,	nv::nv cm::gen nv::nv nv::nv nv::nv verb::vv e::fve.npst comp nv::nv cm::dat verb::vv e::npst.ptcp nv::nv cm::dat mark::comma
dolo farhūn o fi ,	nv::nv nv::adj verb::vv e::cve mark::comma
fakūri ,	nv::nv mark::comma
yalu ha morin šada hakū ,	verb::vv e::pst.ptcp nv::nv verb::vv e::pst.ptcp.neg mark::comma
bayartu ,	nn::prpn.person mark::comma
okdo me gene re cooha tere kemai_dogon de ili fi ,	verb::vv e::cve verb::vv e::npst.ptcp nv::nv nv::nv nn::prpn cm::dat verb::vv e::cve mark::comma
beye be gese teherebu fi banji rakū ,	nv::nv cm::acc nv::nv verb::vv e::cve verb::vv e::npst.ptcp.neg mark::comma
du_tang ni hergen be efule me ,	nv::nv cm::gen nv::nv cm::acc verb::vv e::cve mark::comma
uka me gene he juwe monggo ,	verb::vv e::cve verb::vv e::pst.ptcp nv::nv nv::nv mark::comma
gusantai niru i juwe niyalma be ,	nn::prpn.person nv::nv cm::gen nv::nv nv::nv cm::acc mark::comma
tebu me si_ning_pu de isi tala ,	verb::vv e::cve nn::prpn cm::dat verb::vv e::cve mark::comma
tere be solho han sin i sarkū ai bi ,	nv::nv cm::acc nv::nv nv::nv pn::2sg cm::gen nv::nv nv::nv verb::vv.npst mark::comma
afabu ha weile be mute mbi ,	verb::vv e::pst.ptcp nv::nv cm::acc verb::vv e::fve.npst mark::comma
beile be daha me fu_jeo de gene he .	nv::nv cm::acc verb::vv e::cve nn::prpn cm::dat verb::vv e::pst.ptcp mark::period
samha ,	nv::nv mark::comma
hoošan ,	nv::nv mark::comma
darhan_hiya ,	nn::prpn mark::comma
fuldu ,	nn::prpn.person mark::comma
tere i dabala ,	nv::nv cm::gen ptcl mark::comma
jai jobo ro ba akū kai ,	nv::nv verb::vv e::npst.ptcp nv::nv nv::adj ptcl mark::comma
han i tacibu ha tondo fafun be jurce rakū banji ci ,	nv::nv cm::gen verb::vv e::pst.ptcp nv::adj nv::nv cm::acc verb::vv e::npst.ptcp.neg verb::vv e::cve mark::comma
tere ci jaisanggū ,	nv::nv cm::abl nn::prpn.person mark::comma
gisan ,	nv::nv mark::comma
ilaci jergi iogi de ilata honin bu he ,	nv::nv nv::nv nv::nv cm::dat nv::nv nv::nv verb::vv e::pst.ptcp mark::comma
hoki banji fi geren i gene ∅ ,	nv::nv verb::vv e::cve nv::adj cm::gen verb::vv e::fve.imperative mark::comma
dehi ulhūma ,	nv::nv nv::nv mark::comma
min i ai ambula gurun ,	pn::1sg cm::gen nv::nv nv::nv nv::nv mark::comma
gartu ,	nn::prpn.person mark::comma
wan_lii_han i ehe turgun de ,	nn::prpn cm::gen nv::adj nv::nv cm::dat mark::comma
nadanju haha be gaji me han be bai me ji he .	nv::nv nv::nv cm::acc verb::vv e::cve nv::nv cm::acc verb::vv e::cve verb::vv e::pst.ptcp mark::period
ehe ba be dulembu fi sain ba de tucibu fi gai ∅ ,	nv::adj nv::nv cm::acc verb::vv e::cve nv::adj nv::nv cm::dat verb::vv e::cve verb::vv e::fve.imperative mark::comma
juwanta morin ,	nv::nv nv::nv mark::comma
muse ere ujula ha beile se amban sa i beye ci saci me dosi fi ,	pn::1pl.incl nv::nv verb::vv e::pst.ptcp nv::nv nv::nv nv::nv nv::nv cm::gen nv::nv cm::abl verb::vv e::cve verb::vv e::cve mark::comma
sihan_saman jabu me ,	nn::prpn verb::vv e::cve mark::comma
amala banji re emu akdun gisun akū ,	nv::nv verb::vv e::npst.ptcp nv::nv nv::adj nv::nv nv::adj mark::comma
amban sa de dorolo rakū o ho de ,	nv::nv nv::nv cm::dat verb::vv e::npst.ptcp.neg verb::vv e::pst.ptcp cm::dat mark::comma
yamsida ,	nn::prpn.person mark::comma
min i ama han'_ming_liyan ,	pn::1sg cm::gen nv::nv nn::prpn mark::comma
jai muse i fe_ala de gama fi ,	nv::nv nv::nv cm::gen nn::prpn cm::dat verb::vv e::cve mark::comma
lomi bele dehi juwe tumen emu minggan emu tanggū gūsin hule sunja to juwe sin ,	nv::nv nv::nv nv::nv nv::nv nv::nv nv::nv nv::nv nv::nv nv::nv nv::nv nv::nv nv::nv nv::nv nv::nv nv::nv mark::comma
suwe uji he baili be gūni rakū ,	pn::2pl verb::vv e::pst.ptcp nv::nv cm::acc verb::vv e::npst.ptcp.neg mark::comma
jaila me dulenu ∅ ,	verb::vv e::cve verb::vv e::fve.imperative mark::comma
iduci i elcin ,	nn::prpn.person cm::gen nv::nv mark::comma
afabu ha weile be mute mbi ,	verb::vv e::pst.ptcp nv::nv cm::acc verb::vv e::fve.npst mark::comma
abtai_nakcu ,	nn::prpn mark::comma
ciyandzung bu he ,	nv::nv verb::vv e::pst.ptcp mark::comma
cen i beye jaila me jabdu rakū ,	pn::3pl cm::gen nv::nv verb::vv e::cve verb::vv e::npst.ptcp.neg mark::comma
ukanda ra ubaša ra ambula facuhūn bi he .	verb::vv e::npst.ptcp verb::vv e::npst.ptcp nv::nv nv::adj verb::vv e::pst.ptcp mark::period
tere ci asihasa gemu uju fusi kini ,	nv::nv cm::abl nv::nv nv::nv nv::nv verb::vv e::fve.opt mark::comma
dzung_bing_guwan ,	nv::nv mark::comma
han i boo de beile se amban sa sarila me isa cibe ,	nv::nv cm::gen nv::nv cm::dat nv::nv nv::nv nv::nv nv::nv verb::vv e::cve verb::vv e::cve mark::comma
hai_si ši_ho_wei i du_jy_hūi_tungjy holomi i jui utai ,	nn::prpn nn::prpn cm::gen nv::nv nn::prpn.person cm::gen nv::nv nn::prpn.person mark::comma
jori ha jurgan be jurce rakū seme beiguwan obu ha .	verb::vv e::pst.ptcp nv::nv cm::acc verb::vv e::npst.ptcp.neg comp nv::nv verb::vv e::pst.ptcp mark::period
uka me jide re emu juwe guwanggun niyalma be gaija ra anggala ,	verb::vv e::cve verb::vv e::npst.ptcp nv::nv nv::nv nv::nv nv::nv cm::acc verb::vv e::npst.ptcp nv::nv mark::comma
fondolo me afa me mute hekū o fi amasi bedere re de ,	verb::vv e::cve verb::vv e::cve verb::vv e::pst.ptcp.neg verb::vv e::cve nv::nv verb::vv e::npst.ptcp cm::dat mark::comma
nikata_birgan ci casi ,	nn::prpn cm::abl nv::nv mark::comma
juwe yan i weile waliya mbi ,	nv::nv nv::nv cm::gen nv::nv verb::vv e::fve.npst mark::comma
juwan emu yan bi he ,	nv::nv nv::nv nv::nv verb::vv e::pst.ptcp mark::comma
hai_si uming_doo_wei i du_jy_hūi_ciyanši desu i jui agi ,	nn::prpn nn::prpn cm::gen nv::nv nn::prpn.person cm::gen nv::nv nn::prpn.person mark::comma
bayan sa i usin waliya ha ambula kai ,	nv::nv nv::nv cm::gen nv::nv verb::vv e::pst.ptcp nv::nv ptcl mark::comma
ujahū_wei i du_jy_hūi_ši jangburu i jui anjuhū ,	nn::prpn cm::gen nv::nv nn::prpn.person cm::gen nv::nv nn::prpn.person mark::comma
si_uli efu ,	nn::prpn nv::nv mark::comma
amala juwan yan bene he ,	nv::nv nv::nv nv::nv verb::vv e::pst.ptcp mark::comma
○ orin i inenggi ,	mark::circle nv::nv cm::gen nv::nv mark::comma
sure_kundulen_han ,	nn::prpn mark::comma
juwe tanggū boigon bu fi ,	nv::nv nv::nv nv::nv verb::vv e::cve mark::comma
abka na i siden udu goro bi cibe ,	nv::nv nv::nv cm::gen nv::nv nv::nv nv::nv verb::vv e::cve mark::comma
iogi afuni ,	nv::nv nn::prpn.person mark::comma
afabu ha jurgan be muterei teile teng seme kadala ki .	verb::vv e::pst.ptcp nv::nv cm::acc nv::nv nv::nv nv::nv comp verb::vv e::fve.opt mark::period
haha jui cihangga o ci gai mbi ,	nv::nv nv::nv nv::adj verb::vv e::cve verb::vv e::fve.npst mark::comma
ere nikan cooha be ,	nv::nv nv::nv nv::nv cm::acc mark::comma
jai inenggi girin de emu dedu he ,	nv::nv nv::nv nv::nv cm::dat nv::nv verb::vv e::pst.ptcp mark::comma
šanggiyan_hada ,	nn::prpn mark::comma
genggiyen_han hendu me ,	nn::prpn verb::vv e::cve mark::comma
dergi niyalma i waka be sa ha de ,	nv::nv nv::nv cm::gen nv::adj cm::acc verb::vv e::pst.ptcp cm::dat mark::comma
manggūltai_beile ,	nn::prpn mark::comma
jai juwe minggan cooha i niyalma be simiyan i amargi ci jase bitu me ,	nv::nv nv::nv nv::nv nv::nv cm::gen nv::nv cm::acc nn::prpn.plc cm::gen nv::nv cm::abl nv::nv verb::vv e::cve mark::comma
beide niru i oriken be ,	nn::prpn.person nv::nv cm::gen nn::prpn.person cm::acc mark::comma
nikan duri me gai me wa ci ,	nv::nv verb::vv e::cve verb::vv e::cve verb::vv e::cve mark::comma
hecen i beiguwan ,	nv::nv cm::gen nv::nv mark::comma
yarna niru niyalma ahūta deote ,	nn::prpn.person nv::nv nv::nv nv::nv nv::nv mark::comma
dolo giyei juo i mujilen kai ,	nv::nv nn::prpn.person nn::prpn.person cm::gen nv::nv ptcl mark::comma
gene he beile se nunggan de isina ha ,	verb::vv e::pst.ptcp nv::nv nv::nv nn::prpn.plc cm::dat verb::vv e::pst.ptcp mark::comma
han be geli ambula wakala mbi seme gele me ,	nv::nv cm::acc nv::nv nv::nv verb::vv e::fve.npst comp verb::vv e::cve mark::comma
bu he jaka be ajigen komso bi cibe ,	verb::vv e::pst.ptcp nv::nv cm::acc nv::adj nv::adj verb::vv e::cve mark::comma
menggun dehite yan ,	nv::nv nv::nv nv::nv mark::comma
wang_dzy_deng sokto fi dangse bithe gaija ra de suwaliya me tuci ke be baha ha seme hendu mbi ,	nn::prpn verb::vv e::cve nv::nv nv::nv verb::vv e::npst.ptcp cm::dat verb::vv e::cve verb::vv e::pst.ptcp cm::acc verb::vv e::pst.ptcp comp verb::vv e::fve.npst mark::comma
afabu ha weile be mute mbi ,	verb::vv e::pst.ptcp nv::nv cm::acc verb::vv e::fve.npst mark::comma
amasi bedere me bira i amargi de doo fi ,	nv::nv verb::vv e::cve nv::nv cm::gen nv::nv cm::dat verb::vv e::cve mark::comma
kadala ∅ seme bu he niyalma be gai mbi ,	verb::vv e::fve.imperative comp verb::vv e::pst.ptcp nv::nv cm::acc verb::vv e::fve.npst mark::comma
han i pai be gai fi ,	nv::nv cm::gen nv::nv cm::acc verb::vv e::cve mark::comma
ede korso fi min i beye ili fi ji he ngge ere inu seme hendu he manggi ,	nv::nv verb::vv e::cve pn::1sg cm::gen nv::nv verb::vv e::cve verb::vv e::pst.ptcp nmlz::nmlz nv::nv nv::nv comp verb::vv e::pst.ptcp nv::nv mark::comma
ebugen ,	nn::prpn.person mark::comma
jeku tebu fi gaji me ji fi ,	nv::nv verb::vv e::cve verb::vv e::cve verb::vv e::cve mark::comma
beri jafa rakū uksin etu rakū bai sula niyalma ,	nv::nv verb::vv e::npst.ptcp.neg nv::nv verb::vv e::npst.ptcp.neg nv::nv nv::adj nv::nv mark::comma
gisun be donji rakū ,	nv::nv cm::acc verb::vv e::npst.ptcp.neg mark::comma
tere doro de baitakū ,	nv::nv nv::nv cm::dat nv::adj mark::comma
banji ha ba ,	verb::vv e::pst.ptcp nv::nv mark::comma
bahana ra i teile tucibu me o ci ,	verb::vv e::npst.ptcp cm::gen nv::nv verb::vv e::cve verb::vv e::cve mark::comma
moro fila jakūta tanggū ,	nv::nv nv::nv nv::nv nv::nv mark::comma
sain be sain ,	nv::adj cm::acc nv::adj mark::comma
duici jergi laba ,	nv::nv nv::nv nv::nv mark::comma
ice sunja inenggi gvlmahūn erin de ,	nv::adj nv::nv nv::nv nv::nv nv::nv cm::dat mark::comma
amba_beile ,	nn::prpn mark::comma
tsanjiyang ni hergen bu fi ,	nv::nv cm::gen nv::nv verb::vv e::cve mark::comma
○ aiha i boigon ,	mark::circle nv::nv cm::gen nv::nv mark::comma
meni meni hoton de amasi tebu he ,	nv::nv nv::nv nv::nv cm::dat nv::nv verb::vv e::pst.ptcp mark::comma
ai ai baita de dabu rakū .	nv::nv nv::nv nv::nv cm::dat verb::vv e::npst.ptcp.neg mark::period
abka ,	nv::nv mark::comma
bi gisun gai hakū o fi weile baha ha han ama ,	pn::1sg nv::nv verb::vv e::pst.ptcp.neg verb::vv e::cve nv::nv verb::vv e::pst.ptcp nv::nv nv::nv mark::comma
honin susaita ,	nv::nv nv::nv mark::comma
jušen de unca ∅ ,	nv::nv cm::dat verb::vv e::fve.imperative mark::comma
○ du_tang ni bithe ,	mark::circle nv::nv cm::gen nv::nv mark::comma
we daha rakū seme hendu mbi se re ,	nv::nv verb::vv e::npst.ptcp.neg comp verb::vv e::fve.npst verb::vv e::npst.ptcp mark::comma
○ hūrha gurun i jakūta i niyalma ,	mark::circle nv::nv nv::nv cm::gen nv::nv cm::gen nv::nv mark::comma
batma de duite haha i jušen tokso emte ,	nn::prpn.person cm::dat nv::nv nv::nv cm::gen nv::nv nv::nv nv::nv mark::comma
jabahai ,	nn::prpn.person mark::comma
harha ,	nv::nv mark::comma
fanaha ,	nn::prpn.plc mark::comma
taka naka fi ere biya i juwan be dule ke manggi ,	nv::nv verb::vv e::cve nv::nv nv::nv cm::gen nv::nv cm::acc verb::vv e::pst.ptcp nv::nv mark::comma
orho be tuwa me icangga sain ba de ili ∅ ,	nv::nv cm::acc verb::vv e::cve nv::adj nv::adj nv::nv cm::dat verb::vv e::fve.imperative mark::comma
bi kini seme hendu fi unggi he .	verb::vv e::fve.opt comp verb::vv e::cve verb::vv e::pst.ptcp mark::period
šajin be daba me ulin olji be fulu gai ha niyalma be ,	nv::nv cm::acc verb::vv e::cve nv::nv nv::nv cm::acc nv::nv verb::vv e::pst.ptcp nv::nv cm::acc mark::comma
boo de gama fi wacihiya me dende ∅ seme hendu fi ,	nv::nv cm::dat verb::vv e::cve verb::vv e::cve verb::vv e::fve.imperative comp verb::vv e::cve mark::comma
han i aisin doro be gūni rakū beye i jirga ra be gūni rakū ,	nv::nv cm::gen nv::nv nv::nv cm::acc verb::vv e::npst.ptcp.neg nv::nv cm::gen verb::vv e::npst.ptcp cm::acc verb::vv e::npst.ptcp.neg mark::comma
○ julergi de anafu te he soohai dzung_bing_guwan ,	mark::circle nv::nv cm::dat nv::nv verb::vv e::pst.ptcp nn::prpn.person nv::nv mark::comma
jai afabu ha weile be mute mbi ,	nv::nv verb::vv e::pst.ptcp nv::nv cm::acc verb::vv e::fve.npst mark::comma
jurga ,	nn::prpn.person mark::comma
tere ci casi gene fi omo gebungge hoton be gai fi ,	nv::nv cm::abl nv::nv verb::vv e::cve nv::nv nv::adj nv::nv cm::acc verb::vv e::cve mark::comma
tere ci han de wesimbu ∅ ,	nv::nv cm::abl nv::nv cm::dat verb::vv e::fve.imperative mark::comma
mohota ,	nn::prpn.person mark::comma
ding_dzy_po ,	nn::prpn mark::comma
duka tuwakiya ha niyalma be jafa ∅ seme jafa ha ,	nv::nv verb::vv e::pst.ptcp nv::nv cm::acc verb::vv e::fve.imperative comp verb::vv e::pst.ptcp mark::comma
morin ,	nv::nv mark::comma
kakduri fujiyang ,	nn::prpn.person nv::nv mark::comma
šanaha ci ebsi gemu uju fusi fi min i gurun o hobi ,	nn::prpn.plc cm::abl nv::nv nv::nv nv::nv verb::vv e::cve pn::1sg cm::gen nv::nv verb::vv e::fve.prs.prf mark::comma
jakūn gūsa i siden i wehe yaha deiji re yan_man_dzy ,	nv::nv nv::nv cm::gen nv::nv cm::gen nv::nv nv::nv verb::vv e::npst.ptcp nn::prpn mark::comma
ehe sain be dere bani rakū ,	nv::adj nv::adj cm::acc nv::nv verb::vv e::npst.ptcp.neg mark::comma
fakūna be geren i usin bošo ro tusa seme ciyandzung ni caliyan ,	nn::prpn.person cm::acc nv::adj cm::gen nv::nv verb::vv e::npst.ptcp nv::nv comp nv::nv cm::gen nv::nv mark::comma
juwe niyalma de acan emke bu he ,	nv::nv nv::nv cm::dat nv::nv nv::nv verb::vv e::pst.ptcp mark::comma
beile se amban sa de ala fi wa kini ,	nv::nv nv::nv nv::nv nv::nv cm::dat verb::vv e::cve verb::vv e::fve.opt mark::comma
halbu ha niyalma i boigon be tala mbi ,	verb::vv e::pst.ptcp nv::nv cm::gen nv::nv cm::acc verb::vv e::fve.npst mark::comma
olbo i niyalma ,	nv::nv cm::gen nv::nv mark::comma
sunaha ,	nn::prpn.person mark::comma
hūlha ehe mujilengge niyalma i jabša ha aibi ,	nv::nv nv::adj nv::adj nv::nv cm::gen verb::vv e::pst.ptcp nv::nv mark::comma
dahū sin i boo de bi kai se he manggi ,	nv::nv pn::2sg cm::gen nv::nv cm::dat verb::vv.npst ptcl verb::vv e::pst.ptcp nv::nv mark::comma
munggu be wa ra weile tuhebu he bi he ,	nn::prpn.person cm::acc verb::vv e::npst.ptcp nv::nv verb::vv e::pst.ptcp verb::vv e::pst.ptcp mark::comma
○ senioke be ,	mark::circle nn::prpn.person cm::acc mark::comma
han i tacibu ha tondo fafun be jurce rakū banji ci ,	nv::nv cm::gen verb::vv e::pst.ptcp nv::adj nv::nv cm::acc verb::vv e::npst.ptcp.neg verb::vv e::cve mark::comma
giyen ,	nv::nv mark::comma
angkūn_taiji uthai juleri dosi fi ,	nn::prpn nv::nv nv::nv verb::vv e::cve mark::comma
sain tubihe ,	nv::adj nv::nv mark::comma
juwan de ,	nv::nv cm::dat mark::comma
tere anggala ,	nv::nv nv::nv mark::comma
weihede bi ,	nn::prpn.person verb::vv.npst mark::comma
jeku akū niyalma be nene me unggi he bithe i songko i obu ∅ ,	nv::nv nv::adj nv::nv cm::acc verb::vv e::cve verb::vv e::pst.ptcp nv::nv cm::gen nv::nv cm::gen verb::vv e::fve.imperative mark::comma
amban komso o ci aibide isina mbi ,	nv::nv nv::adj verb::vv e::cve nv::nv verb::vv e::fve.npst mark::comma
tenteke nungne he niyalma be baica ki ,	nv::nv verb::vv e::pst.ptcp nv::nv cm::acc verb::vv e::fve.opt mark::comma
tuba gebungge juwe karun i ejen be ,	nv::nv nv::adj nv::nv nv::nv cm::gen nv::nv cm::acc mark::comma
in i ahūn deo i orin haha i alban be guwebu mbihe ,	pn::3sg cm::gen nv::nv nv::nv cm::gen nv::nv nv::nv cm::gen nv::nv cm::acc verb::vv e::fve.pst.ipfv mark::comma
unenggi sain banji mbi se ci ,	nv::adj nv::adj verb::vv e::fve.npst verb::vv e::cve mark::comma
garda ,	nn::prpn.person mark::comma
deo omsoko be beiguwan obu ha ,	nv::nv nn::prpn.person cm::acc nv::nv verb::vv e::pst.ptcp mark::comma
goroki hanciki niyalma donji ci ,	nv::adj nv::adj nv::nv verb::vv e::cve mark::comma
fiyanggū ,	nv::adj mark::comma
du_tang ,	nv::nv mark::comma
giya_jing ni dehi ilaci aniya ninggun biya i orin juwe de baha ha ,	nn::prpn cm::gen nv::nv nv::nv nv::nv nv::nv nv::nv cm::gen nv::nv nv::nv cm::dat verb::vv e::pst.ptcp mark::comma
wa ra ba o ci ,	verb::vv e::npst.ptcp nv::nv verb::vv e::cve mark::comma
tari ha jeku fangkala yangsa me tuta ci ,	verb::vv e::pst.ptcp nv::nv nv::adj verb::vv e::cve verb::vv e::cve mark::comma
duin ba de duin hoton be saha me ,	nv::nv nv::nv cm::dat nv::nv nv::nv cm::acc verb::vv e::cve mark::comma
tere ilan beile i cooha jugūn toso fi ,	nv::nv nv::nv nv::nv cm::gen nv::nv nv::nv verb::vv e::cve mark::comma
nadan tumen cooha be gemu wa ha ,	nv::nv nv::nv nv::nv cm::acc nv::nv verb::vv e::pst.ptcp mark::comma
beile amha se ,	nv::nv nv::nv nv::nv mark::comma
fe_ala de susai duin niru .	nn::prpn cm::dat nv::nv nv::nv nv::nv mark::period
niyalma i jete re jeku be jete rakū ,	nv::nv cm::gen verb::vv e::npst.ptcp nv::nv cm::acc verb::vv e::npst.ptcp.neg mark::comma
i_miyan_šan_wei i du_jy_hūi_tungjy daiju i omolo aluhū ,	nn::prpn cm::gen nv::nv nn::prpn.person cm::gen nv::nv nn::prpn.person mark::comma
dehi dere dasa fi ,	nv::nv nv::nv verb::vv e::cve mark::comma
cooha dosi fi nikan i jase i dolo ilan dedu me bi ci ,	nv::nv verb::vv e::cve nv::nv cm::gen nv::nv cm::gen nv::nv nv::nv verb::vv e::cve verb::vv e::cve mark::comma
han i hecen ci sunja ba i dube de ,	nv::nv cm::gen nv::nv cm::abl nv::nv nv::nv cm::gen nv::nv cm::dat mark::comma
inu sin be han de weile baha fi ,	nv::nv pn::2sg cm::acc nv::nv cm::dat nv::nv verb::vv e::cve mark::comma
bira be doo re kiyoo be efule hebi se re ,	nv::nv cm::acc verb::vv e::npst.ptcp nv::nv cm::acc verb::vv e::fve.prs.prf verb::vv e::npst.ptcp mark::comma
dabduri ,	nv::adj mark::comma
julergi jecen i kuwa_lan_ho ba i niyalma ,	nv::nv nv::nv cm::gen nn::prpn nv::nv cm::gen nv::nv mark::comma
tere inenggi olji icihiya me waji hakū o fi ,	nv::nv nv::nv nv::nv verb::vv e::cve verb::vv e::pst.ptcp.neg verb::vv e::cve mark::comma
nene me ulebu he jeku orho be waji ha de ,	verb::vv e::cve verb::vv e::pst.ptcp nv::nv nv::nv cm::acc verb::vv e::pst.ptcp cm::dat mark::comma
han gosi me uji re de ,	nv::nv verb::vv e::cve verb::vv e::npst.ptcp cm::dat mark::comma
cen_wan_wei be ,	nn::prpn cm::acc mark::comma
han i šajin fafun be suwe ainu jurce he seme weile ara fi ,	nv::nv cm::gen nv::nv nv::nv cm::acc pn::2pl nv::nv verb::vv e::pst.ptcp comp nv::nv verb::vv e::cve mark::comma
indahūci ,	nn::prpn.person mark::comma
dandari ,	nn::prpn.person mark::comma
nikan tuci fi amca ha jušen be ali me gai fi gabta me afa fi ,	nv::nv verb::vv e::cve verb::vv e::pst.ptcp nv::nv cm::acc verb::vv e::cve verb::vv e::cve verb::vv e::cve verb::vv e::cve mark::comma
banji re jurgan waka o ci tafula me tuwa ∅ ,	verb::vv e::npst.ptcp nv::nv nv::adj verb::vv e::cve verb::vv e::cve verb::vv e::fve.imperative mark::comma
sain niyalma tuci fi tulergi deri toso ∅ ,	nv::adj nv::nv verb::vv e::cve nv::nv nv::nv verb::vv e::fve.imperative mark::comma
emte tanggū yan menggun ,	nv::nv nv::nv nv::nv nv::nv mark::comma
geren beile se amban sa duile me hebde fi amasi bithe wesimbu me ,	nv::adj nv::nv nv::nv nv::nv nv::nv verb::vv e::cve verb::vv e::cve nv::nv nv::nv verb::vv e::cve mark::comma
fekumbu re katara ra ji fi ,	verb::vv e::npst.ptcp verb::vv e::npst.ptcp verb::vv e::cve mark::comma
gege de juwe tanggū yan menggun ,	nv::nv cm::dat nv::nv nv::nv nv::nv nv::nv mark::comma
beile se amban sa ,	nv::nv nv::nv nv::nv nv::nv mark::comma
jori ha jurgan be jurce rakū seme beiguwan obu ha .	verb::vv e::pst.ptcp nv::nv cm::acc verb::vv e::npst.ptcp.neg comp nv::nv verb::vv e::pst.ptcp mark::period
juleri niyalma jailabu re nikan ye_bu_šeo i emgi emte jušen be sinda fi ,	nv::nv nv::nv verb::vv e::npst.ptcp nv::nv nv::nv cm::gen nv::nv nv::nv nv::nv cm::acc verb::vv e::cve mark::comma
si amasi gaji ∅ se mbi o .	pn::2sg nv::nv verb::vv e::fve.imperative verb::vv e::fve.npst ptcl mark::period
andarhan ,	nn::prpn.person mark::comma
udai ,	nn::prpn.person mark::comma
jori ha jurgan be jurce rakū seme beiguwan obu ha .	verb::vv e::pst.ptcp nv::nv cm::acc verb::vv e::npst.ptcp.neg comp nv::nv verb::vv e::pst.ptcp mark::period
beile se amban sa suwe ,	nv::nv nv::nv nv::nv nv::nv pn::2pl mark::comma
moo gana ra niyalma seme ,	nv::nv verb::vv e::npst.ptcp nv::nv comp mark::comma
tai tebu me karun sinda me gene he .	nv::nv verb::vv e::cve nv::nv verb::vv e::cve verb::vv e::pst.ptcp mark::period
○ ice ilan de ,	mark::circle nv::adj nv::nv cm::dat mark::comma
gida ha tana nicuhe aika jaka bi ci tucibu fi bu ∅ ,	verb::vv e::pst.ptcp nv::nv nv::nv nv::nv nv::nv verb::vv e::cve verb::vv e::cve verb::vv e::fve.imperative mark::comma
lii_diyan_kui i funde jeku tuwa me juwe kini ,	nn::prpn cm::gen nv::nv nv::nv verb::vv e::cve verb::vv e::fve.opt mark::comma
nikan beidesi jakūn ,	nv::nv nv::nv nv::nv mark::comma
han hendu me ,	nv::nv verb::vv e::cve mark::comma
juwe morin i hadala i cilburi jafa fi te he be ,	nv::nv nv::nv cm::gen nv::nv cm::gen nv::nv verb::vv e::cve verb::vv e::pst.ptcp cm::acc mark::comma
gosi re doro be ume lashala ra ,	verb::vv e::npst.ptcp nv::nv cm::acc nv::nv verb::vv e::npst.ptcp mark::comma
du_jy_hūi_ciyanši cingdehe i jui ahai ,	nv::nv nn::prpn.person cm::gen nv::nv nn::prpn.person mark::comma
muse i cooha i niyalma de hūdukan bodo me bu ∅ .	nv::nv cm::gen nv::nv cm::gen nv::nv cm::dat nv::adj verb::vv e::cve verb::vv e::fve.imperative mark::period
emu dangse be jakūn dangse ara ∅ ,	nv::nv nv::nv cm::acc nv::nv nv::nv verb::vv e::fve.imperative mark::comma
dung_ging hecen i šurde me arfa muji juwen gai fi bu ∅ ,	nn::prpn nv::nv cm::gen verb::vv e::cve nv::nv nv::nv nv::nv verb::vv e::cve verb::vv e::fve.imperative mark::comma
han i tacibu ha tondo fafun be jurce rakū banji ci ,	nv::nv cm::gen verb::vv e::pst.ptcp nv::adj nv::nv cm::acc verb::vv e::npst.ptcp.neg verb::vv e::cve mark::comma
