gege be ,	nv::nv cm::acc mark::comma
na de sahaliyan ihan be wa fi ,	nv::nv cm::dat nv::adj nv::nv cm::acc verb::vv e::cve mark::comma
ba be waliya fi bai me ji he gung ,	nv::nv cm::acc verb::vv e::cve verb::vv e::cve verb::vv e::pst.ptcp nv::nv mark::comma
gida ,	nv::nv mark::comma
afabu ha weile be mute mbi ,	verb::vv e::pst.ptcp nv::nv cm::acc verb::vv e::fve.npst mark::comma
jise jafa ra nikasa be bu me ,	nv::nv verb::vv e::npst.ptcp nv::nv cm::acc verb::vv e::cve mark::comma
dulin niyalma burula mbime amasi gabta me ,	nv::adj nv::nv verb::vv e::cve nv::nv verb::vv e::cve mark::comma
hacin hacin i ganio sabi jori me ,	nv::nv nv::nv cm::gen nv::adj nv::nv verb::vv e::cve mark::comma
unggi he bithe i gisun ,	verb::vv e::pst.ptcp nv::nv cm::gen nv::nv mark::comma
ula i hashū_beile de ,	nv::nv cm::gen nn::prpn cm::dat mark::comma
bedzung ,	nv::nv mark::comma
hebe akdun ,	nv::nv nv::adj mark::comma
hūsitun bi ,	nv::nv verb::vv.npst mark::comma
sijika ,	nn::prpn.person mark::comma
min i elcin ajai donji habi ,	pn::1sg cm::gen nv::nv nn::prpn.person verb::vv e::fve.prs.prf mark::comma
jergene iogi ,	nn::prpn.person nv::nv mark::comma
sin de nikan_age i ulin ai ai jaka be uhe acabu ha ngge ,	pn::2sg cm::dat nn::prpn cm::gen nv::nv nv::nv nv::nv nv::nv cm::acc nv::nv verb::vv e::pst.ptcp nmlz::nmlz mark::comma
hūsita niru i niyalma be in i niru i niyalma de afabu fi ganabu ha .	nn::prpn.person nv::nv cm::gen nv::nv cm::acc pn::3sg cm::gen nv::nv cm::gen nv::nv cm::dat verb::vv e::cve verb::vv e::pst.ptcp mark::period
han i bayara i hiya sa be gai fi ,	nv::nv cm::gen nv::nv cm::gen nv::nv nv::nv cm::acc verb::vv e::cve mark::comma
tere gašan de bi ,	nv::nv nv::nv cm::dat verb::vv.npst mark::comma
dain daila ci ,	nv::nv verb::vv e::cve mark::comma
han i bithe ,	nv::nv cm::gen nv::nv mark::comma
uheri susai jakūn anggala ,	nv::nv nv::nv nv::nv nv::nv mark::comma
sunja tanggū yan menggun ,	nv::nv nv::nv nv::nv nv::nv mark::comma
hūturi juse omosi de tuta mbi ,	nv::nv nv::nv nv::nv cm::dat verb::vv e::fve.npst mark::comma
hai_si tomoho_wei i du_jy_hūi_ciyanši nitangga i jui utasi ,	nn::prpn nn::prpn cm::gen nv::nv nn::prpn.person cm::gen nv::nv nn::prpn.person mark::comma
han hendu me ,	nv::nv verb::vv e::cve mark::comma
ula de emu feye gidalabu ha ,	nv::nv cm::dat nv::nv nv::nv verb::vv e::pst.ptcp mark::comma
gemu jakūn gūsa i amban sa de afabu fi ningguta de weri ∅ ,	nv::nv nv::nv nv::nv cm::gen nv::nv nv::nv cm::dat verb::vv e::cve nn::prpn.plc cm::dat verb::vv e::fve.imperative mark::comma
yargiyan ba de ,	nv::adj nv::nv cm::dat mark::comma
sahalca_ecike ,	nn::prpn mark::comma
kice me bošo me akūmbu ki ,	verb::vv e::cve verb::vv e::cve verb::vv e::fve.opt mark::comma
aca ha doro i amba sarin sarila ha ,	verb::vv e::pst.ptcp nv::nv cm::gen nv::adj nv::nv verb::vv e::pst.ptcp mark::comma
○ uju mukūn i nadaci tatan ,	mark::circle nv::nv nv::nv cm::gen nv::nv nv::nv mark::comma
gege de emu fulgiyan gecuheri ,	nv::nv cm::dat nv::nv nv::nv nv::nv mark::comma
ihan juwanta ,	nv::nv nv::nv mark::comma
beile se amban sa i boo de ,	nv::nv nv::nv nv::nv nv::nv cm::gen nv::nv cm::dat mark::comma
hūlha holo koimali jalingga ehe mujilen i banji ci ,	nv::nv nv::nv nv::adj nv::adj nv::adj nv::nv cm::gen verb::vv e::cve mark::comma
aga ra de ,	verb::vv e::npst.ptcp cm::dat mark::comma
sunja biya i ice ilan de ,	nv::nv nv::nv cm::gen nv::adj nv::nv cm::dat mark::comma
juwan emu de wasimbu ha ,	nv::nv nv::nv cm::dat verb::vv e::pst.ptcp mark::comma
tai niyalma de angga si me jakūnju yan menggun bu fi gene he be baica fi ,	nv::nv nv::nv cm::dat nv::nv verb::vv e::cve nv::nv nv::nv nv::nv verb::vv e::cve verb::vv e::pst.ptcp cm::acc verb::vv e::cve mark::comma
donoi ,	nn::prpn.person mark::comma
bahana rakū ba be aina ra seme tondo i beide cina ,	verb::vv e::npst.ptcp.neg nv::nv cm::acc verb::vv e::npst.ptcp comp nv::adj cm::gen verb::vv e::fve.opt mark::comma
tontai ,	nn::prpn.person mark::comma
gūsin uksin i niyalma be gai fi te ,	nv::nv nv::nv cm::gen nv::nv cm::acc verb::vv e::cve nv::nv mark::comma
ice ninggun de cimari erde aca ki .	nv::adj nv::nv cm::dat nv::nv nv::nv verb::vv e::fve.opt mark::period
giya_jing ni gūsin duici aniya nadan biya i orin nadan de baha ha ,	nn::prpn cm::gen nv::nv nv::nv nv::nv nv::nv nv::nv cm::gen nv::nv nv::nv cm::dat verb::vv e::pst.ptcp mark::comma
yarna min be wa kini ,	nn::prpn.person pn::1sg cm::acc verb::vv e::fve.opt mark::comma
saikan kimci me bithe tacibu fi ,	nv::adj verb::vv e::cve nv::nv verb::vv e::cve mark::comma
undurakū emte ,	nv::nv nv::nv mark::comma
ho_si ,	nn::prpn mark::comma
fiyefun i ninggu ,	nn::prpn.plc cm::gen nv::nv mark::comma
hai_jeo i boigon i nikasa be amargi guwali de tebu ∅ ,	nn::prpn cm::gen nv::nv cm::gen nv::nv cm::acc nv::nv nv::nv cm::dat verb::vv e::fve.imperative mark::comma
si mene dahai_baksi de latu fi ,	pn::2sg nv::nv nn::prpn cm::dat verb::vv e::cve mark::comma
susai ninju jaha ,	nv::nv nv::nv nv::nv mark::comma
cimari dari han i yamun de beile se i yamun de yamula ha manggi ,	nv::nv nv::nv nv::nv cm::gen nv::nv cm::dat nv::nv nv::nv cm::gen nv::nv cm::dat verb::vv e::pst.ptcp nv::nv mark::comma
hūsita be amca me gene fi ,	nn::prpn.person cm::acc verb::vv e::cve verb::vv e::cve mark::comma
jakūta de emu feye baha ha seme ,	nv::nv cm::dat nv::nv nv::nv verb::vv e::pst.ptcp comp mark::comma
casi gene ci ojo ro ,	nv::nv verb::vv e::cve verb::vv e::npst.ptcp mark::comma
jaling tebu mbi ,	nn::prpn verb::vv e::fve.npst mark::comma
morin de muke mele fi ,	nv::nv cm::dat nv::nv verb::vv e::cve mark::comma
han hendu me ,	nv::nv verb::vv e::cve mark::comma
unggi he ici ergi gala i cooha isina hakū ,	verb::vv e::pst.ptcp nv::nv nv::nv nv::nv cm::gen nv::nv verb::vv e::pst.ptcp.neg mark::comma
tuba i ama eme ,	nv::nv cm::gen nv::nv nv::nv mark::comma
suwen i emu gisun be adarame mara ci o mbi seme bithe ara fi unggi he .	pn::2pl cm::gen nv::nv nv::nv cm::acc nv::nv verb::vv e::cve verb::vv e::fve.npst comp nv::nv verb::vv e::cve verb::vv e::pst.ptcp mark::period
○ cohono julergi golo de te he nikan de jeku gai me gene fi ,	mark::circle nn::prpn.person nv::nv nv::nv cm::dat verb::vv e::pst.ptcp nv::nv cm::dat nv::nv verb::vv e::cve verb::vv e::cve mark::comma
sain be sain ,	nv::adj cm::acc nv::adj mark::comma
juwe deo be weri he ,	nv::nv nv::nv cm::acc verb::vv e::pst.ptcp mark::comma
du_tang ,	nv::nv mark::comma
tere gisun be sunja tatan i kalka de ala rakū ci ,	nv::nv nv::nv cm::acc nv::nv nv::nv cm::gen nv::nv cm::dat verb::vv e::npst.ptcp.neg e::cve mark::comma
jakūn biya i orin uyun de gemu gai ha ,	nv::nv nv::nv cm::gen nv::nv nv::nv cm::dat nv::nv verb::vv e::pst.ptcp mark::comma
orin niyalma emu ihan be ulebu ∅ ,	nv::nv nv::nv nv::nv nv::nv cm::acc verb::vv e::fve.imperative mark::comma
beile se i emgi ji ∅ .	nv::nv nv::nv cm::gen nv::nv verb::vv e::fve.imperative mark::period
tere jugūn be fonji fi unggi ∅ ,	nv::nv nv::nv cm::acc verb::vv e::cve verb::vv e::fve.imperative mark::comma
tari re ihan ,	verb::vv e::npst.ptcp nv::nv mark::comma
sin i yordo ho ngge be tašan se mbi o ,	pn::2sg cm::gen verb::vv e::pst.ptcp nmlz::nmlz cm::acc nv::nv verb::vv e::fve.npst ptcl mark::comma
○ g'ai_jeo ci wasihūn ,	mark::circle nn::prpn cm::abl nv::nv mark::comma
geli cilin de ji fi ,	nv::nv nv::nv cm::dat verb::vv e::cve mark::comma
jakūta de emte feye ,	nv::nv cm::dat nv::nv nv::nv mark::comma
beiguwan i hergen be efule fi susai šusihala fi ,	nv::nv cm::gen nv::nv cm::acc verb::vv e::cve nv::nv verb::vv e::cve mark::comma
tere sunja solho ala me ,	nv::nv nv::nv nv::nv verb::vv e::cve mark::comma
hai_si šeri_wei i du_jy_hūi_ši kukelu i jui hūsitu ,	nn::prpn nn::prpn cm::gen nv::nv nn::prpn.person cm::gen nv::nv nn::prpn.person mark::comma
gene fi ambula songgo ho ,	verb::vv e::cve nv::nv verb::vv e::pst.ptcp mark::comma
lii_g'o dzung_bing_guwan i jung giyūn cooha ji mbi seme urkila fi burgibu fi ,	nn::prpn nv::nv cm::gen nv::nv nv::nv nv::nv verb::vv e::fve.npst comp verb::vv e::cve verb::vv e::cve mark::comma
uju jergi dzung_bing_guwan be nakabu fi ,	nv::nv nv::nv nv::nv cm::acc verb::vv e::cve mark::comma
jergi jergi bodo me jafabu ha ,	nv::nv nv::nv verb::vv e::cve verb::vv e::pst.ptcp mark::comma
iogi susan ,	nv::nv nn::prpn.person mark::comma
monggocun ,	nv::nv mark::comma
yoo_jeo i hecen be ehe seme dasa me saha me ,	nn::prpn cm::gen nv::nv cm::acc nv::adj comp verb::vv e::cve verb::vv e::cve mark::comma
giya_jing ni gūsin jakūci aniya nadan biya i juwan uyun de baha ha ,	nn::prpn cm::gen nv::nv nv::nv nv::nv nv::nv nv::nv cm::gen nv::nv nv::nv cm::dat verb::vv e::pst.ptcp mark::comma
yehe i niyalma be wa ha seme ,	nv::nv cm::gen nv::nv cm::acc verb::vv e::pst.ptcp comp mark::comma
ahūn be biya giyala rakū aniya inde rakū gasabu ha manggi ,	nv::nv cm::acc nv::nv verb::vv e::npst.ptcp.neg nv::nv verb::vv e::npst.ptcp.neg verb::vv e::pst.ptcp nv::nv mark::comma
juwe ulgiyan ,	nv::nv nv::nv mark::comma
juwan ilan i inenggi ,	nv::nv nv::nv cm::gen nv::nv mark::comma
men i juwe gurun emu hebe i daila mbi ,	pn::1pl.excl cm::gen nv::nv nv::nv nv::nv nv::nv cm::gen verb::vv e::fve.npst mark::comma
geren i ejen ,	nv::adj cm::gen nv::nv mark::comma
hoošan ,	nv::nv mark::comma
tere dobori ,	nv::nv nv::nv mark::comma
silun i dahū emte ,	nv::nv cm::gen nv::nv nv::nv mark::comma
juwe biya i orin ninggun de ,	nv::nv nv::nv cm::gen nv::nv nv::nv cm::dat mark::comma
ilan šeo_pu de juwete niyalma ,	nv::nv nv::nv cm::dat nv::nv nv::nv mark::comma
cooha i niyalma be cooha i agūra be dasabu cina ,	nv::nv cm::gen nv::nv cm::acc nv::nv cm::gen nv::nv cm::acc verb::vv e::fve.opt mark::comma
deli_wehe ,	nn::prpn mark::comma
duici inenggi ,	nv::nv nv::nv mark::comma
tere cooha gene re de ,	nv::nv nv::nv verb::vv e::npst.ptcp cm::dat mark::comma
men i tuba de tuta ha ahūta deote be bojiri in de daha rakū o ho de wa mbi kai ,	pn::1pl.excl cm::gen nv::nv cm::dat verb::vv e::pst.ptcp nv::nv nv::nv cm::acc nn::prpn.person pn::3sg cm::dat verb::vv e::npst.ptcp.neg verb::vv e::pst.ptcp cm::dat verb::vv e::fve.npst ptcl mark::comma
ere emu jurgan i weile .	nv::nv nv::nv nv::nv cm::gen nv::nv mark::period
orin juwe de wasimbu ha ,	nv::nv nv::nv cm::dat verb::vv e::pst.ptcp mark::comma
han ,	nv::nv mark::comma
han i šangna me bu he šang ,	nv::nv cm::gen verb::vv e::cve verb::vv e::pst.ptcp nv::nv mark::comma
ebsi min de ji he seme ,	nv::nv pn::1sg cm::dat verb::vv e::pst.ptcp comp mark::comma
weile he jeku i dabala ,	verb::vv e::pst.ptcp nv::nv cm::gen ptcl mark::comma
saikan bekile ∅ ,	nv::adj verb::vv e::fve.imperative mark::comma
harahūi tuwana ha bi he ,	nn::prpn.person verb::vv e::pst.ptcp verb::vv e::pst.ptcp mark::comma
acan hai_si yar_wei i du_jy_hūi_ciyanši albatai i jui bartai ,	nv::nv nn::prpn nn::prpn cm::gen nv::nv nn::prpn.person cm::gen nv::nv nn::prpn.person mark::comma
juwan temen ,	nv::nv nv::nv mark::comma
jušen de bu he jeku i jalin de ,	nv::nv cm::dat verb::vv e::pst.ptcp nv::nv cm::gen nv::nv cm::dat mark::comma
gūwa ba de te ki seme ,	nv::nv nv::nv cm::dat verb::vv e::fve.opt comp mark::comma
jai jakūn pu i nikasa i fuifu ha dabsun be cen de bu fi haha tolo me dende he .	nv::nv nv::nv nv::nv cm::gen nv::nv cm::gen verb::vv e::pst.ptcp nv::nv cm::acc pn::3pl cm::dat verb::vv e::cve nv::nv verb::vv e::cve verb::vv e::pst.ptcp mark::period
min i dolo kalka ci ji he beile se emu gūsa banji ∅ ,	pn::1sg cm::gen nv::nv nv::nv cm::abl verb::vv e::pst.ptcp nv::nv nv::nv nv::nv nv::nv verb::vv e::fve.imperative mark::comma
ilata suje ,	nv::nv nv::nv mark::comma
cing_baturu ,	nn::prpn mark::comma
suwen de akda fi banji mbi o ,	pn::2pl cm::dat verb::vv e::cve verb::vv e::fve.npst ptcl mark::comma
bošo fi ,	verb::vv e::cve mark::comma
afabu ha weile be mute mbi ,	verb::vv e::pst.ptcp nv::nv cm::acc verb::vv e::fve.npst mark::comma
jori ha jurgan be jurce rakū seme beiguwan obu ha .	verb::vv e::pst.ptcp nv::nv cm::acc verb::vv e::npst.ptcp.neg comp nv::nv verb::vv e::pst.ptcp mark::period
gungcin i elcin ,	nn::prpn.person cm::gen nv::nv mark::comma
si umai hūsun tuci rakū bi me ,	pn::2sg nv::nv nv::nv verb::vv e::npst.ptcp.neg verb::vv e::cve mark::comma
dergi_mederi ci ebsi ,	nn::prpn cm::abl nv::nv mark::comma
toitono ,	nn::prpn.person mark::comma
ajigen gurun be wa ki se fi ,	nv::adj nv::nv cm::acc verb::vv e::fve.opt verb::vv e::cve mark::comma
juse omosi jalan hala me gosi re doro be ume lashala ra .	nv::nv nv::nv nv::nv verb::vv e::cve verb::vv e::npst.ptcp nv::nv cm::acc nv::nv verb::vv e::npst.ptcp mark::period
nikan i aika jaka be ume duri re ,	nv::nv cm::gen nv::nv nv::nv cm::acc nv::nv verb::vv e::npst.ptcp mark::comma
○ juwan ilan de ,	mark::circle nv::nv nv::nv cm::dat mark::comma
hūlha holo mujilen jafa fi sula heolen o ci ,	nv::nv nv::nv nv::nv verb::vv e::cve nv::adj nv::adj verb::vv e::cve mark::comma
ula de emgeri gidalabu ha ,	nv::nv cm::dat nv::nv verb::vv e::pst.ptcp mark::comma
geren seme komso be wa ci ,	nv::adj comp nv::adj cm::acc verb::vv e::cve mark::comma
hoošan uyunju sunja kiyan ,	nv::nv nv::nv nv::nv nv::nv mark::comma
hošo i amin_beile juwe minggan cooha be gai fi gene he ,	nv::nv cm::gen nn::prpn nv::nv nv::nv nv::nv cm::acc verb::vv e::cve verb::vv e::pst.ptcp mark::comma
pan emgeri emgeri fori ∅ ,	nv::nv nv::nv nv::nv verb::vv e::fve.imperative mark::comma
ere bithe be jirhai si dashūwan ergi gala i duin gūsa de isibu ∅ ,	nv::nv nv::nv cm::acc nn::prpn.person pn::2sg nv::nv nv::nv nv::nv cm::gen nv::nv nv::nv cm::dat verb::vv e::fve.imperative mark::comma
miosihon i juwan ninggun yan i gung faita ha .	nv::adj cm::gen nv::nv nv::nv nv::nv cm::gen nv::nv verb::vv e::pst.ptcp mark::period
min be umai wesibu he šangna hakū ,	pn::1sg cm::acc nv::nv verb::vv e::pst.ptcp verb::vv e::pst.ptcp.neg mark::comma
nikan hafan sa i sargata be sujubu me gaibu ha ,	nv::nv nv::nv nv::nv cm::gen nv::nv cm::acc verb::vv e::cve verb::vv e::pst.ptcp mark::comma
han i hecen de ulgiyan erin de pan i mejige isinji ha ,	nv::nv cm::gen nv::nv cm::dat nv::nv nv::nv cm::dat nv::nv cm::gen nv::nv verb::vv e::pst.ptcp mark::comma
in i boo i sula hehe gercile me ,	pn::3sg cm::gen nv::nv cm::gen nv::adj nv::nv verb::vv e::cve mark::comma
sunja solho be gemu jafa ha .	nv::nv nv::nv cm::acc nv::nv verb::vv e::pst.ptcp mark::period
han ,	nv::nv mark::comma
gulhun yooni gaji ha ,	nv::adj nv::nv verb::vv e::pst.ptcp mark::comma
baihū_mafa ,	nn::prpn mark::comma
suwen i han jafa fi bu rakū se he seme ,	pn::2pl cm::gen nv::nv verb::vv e::cve verb::vv e::npst.ptcp.neg verb::vv e::pst.ptcp comp mark::comma
juwe ulgiyan ,	nv::nv nv::nv mark::comma
erdeni_baksi be ,	nn::prpn cm::acc mark::comma
monggo i gurbusi_taiji ci uka me jide re boigon be okdo me ,	nv::nv cm::gen nn::prpn cm::abl verb::vv e::cve verb::vv e::npst.ptcp nv::nv cm::acc verb::vv e::cve mark::comma
uksun i deo .	nv::nv cm::gen nv::nv mark::period
suwen i dere giru rahū seme hendu fi ,	pn::2pl cm::gen nv::nv verb::vv e::fve.prv comp verb::vv e::cve mark::comma
emu minggan morin be usin i jeku de sinda fi tarhūbu ∅ seme hūla ha ,	nv::nv nv::nv nv::nv cm::acc nv::nv cm::gen nv::nv cm::dat verb::vv e::cve verb::vv e::fve.imperative comp verb::vv e::pst.ptcp mark::comma
juwe biya i ice ninggun de wasimbu ha ,	nv::nv nv::nv cm::gen nv::adj nv::nv cm::dat verb::vv e::pst.ptcp mark::comma
ulgiyan ,	nv::nv mark::comma
min i gese suje jodo ro nikan be baha ha bi ci ,	pn::1sg cm::gen nv::nv nv::nv verb::vv e::npst.ptcp nv::nv cm::acc verb::vv e::pst.ptcp verb::vv e::cve mark::comma
jeku bu hekū bi ci ,	nv::nv verb::vv e::pst.ptcp.neg verb::vv e::cve mark::comma
simiyan de bu he emu niyalma ,	nn::prpn.plc cm::dat verb::vv e::pst.ptcp nv::nv nv::nv mark::comma
ilan šeo_pu de juwete niyalma ,	nv::nv nv::nv cm::dat nv::nv nv::nv mark::comma
te dabsun baha fi je mbi ,	nv::nv nv::nv verb::vv e::cve verb::vv e::fve.npst mark::comma
bi daila mbi ,	pn::1sg verb::vv e::fve.npst mark::comma
gu_ceng_pu ,	nn::prpn mark::comma
fusi be gai ha fon de ,	nn::prpn.plc cm::acc verb::vv e::pst.ptcp nv::nv cm::dat mark::comma
amba gurun i han i cooha ji mbi se ci ,	nv::adj nv::nv cm::gen nv::nv cm::gen nv::nv verb::vv e::fve.npst verb::vv e::cve mark::comma
eye angga be nei ci ,	nv::nv nv::nv cm::acc verb::vv e::cve mark::comma
gemu emu han i irgen o ho kai ,	nv::nv nv::nv nv::nv cm::gen nv::nv verb::vv e::pst.ptcp ptcl mark::comma
bi ehe gūni hakū ,	pn::1sg nv::adj verb::vv e::pst.ptcp.neg mark::comma
waka be sa ha de wakala me hendu ∅ ,	nv::adj cm::acc verb::vv e::pst.ptcp cm::dat verb::vv e::cve verb::vv e::fve.imperative mark::comma
susai šusiha šusihala fi sinda ha ,	nv::nv nv::nv verb::vv e::cve verb::vv e::pst.ptcp mark::comma
muhada ,	nn::prpn.person mark::comma
coromo ,	nn::prpn.person mark::comma
dzung_bing_guwan duite morin ,	nv::nv nv::nv nv::nv mark::comma
han i bithe ,	nv::nv cm::gen nv::nv mark::comma
hasi ,	nv::nv mark::comma
ehe waka be wakala me hendu he manggi ,	nv::adj nv::adj cm::acc verb::vv e::cve verb::vv e::pst.ptcp nv::nv mark::comma
nikan i cooha emu minggan ,	nv::nv cm::gen nv::nv nv::nv nv::nv mark::comma
muse i cooha be jobobu me suilabu me ,	nv::nv cm::gen nv::nv cm::acc verb::vv e::cve verb::vv e::cve mark::comma
○ orin nadan de ,	mark::circle nv::nv nv::nv cm::dat mark::comma
elkio ,	nn::prpn.person mark::comma
suwen i ere ilan pu i niyalma ,	pn::2pl cm::gen nv::nv nv::nv nv::nv cm::gen nv::nv mark::comma
an_jeo ,	nn::prpn mark::comma
emu sargan jui isinji ha ,	nv::nv nv::nv nv::nv verb::vv e::pst.ptcp mark::comma
ajige_age emu dedun i ebsihe fude me bene he .	nn::prpn nv::nv nv::nv cm::gen nv::nv verb::vv e::cve verb::vv e::pst.ptcp mark::period
anafu te me gene he amban sa de ,	nv::nv verb::vv e::cve verb::vv e::pst.ptcp nv::nv nv::nv cm::dat mark::comma
gūwalca_golo i amban bi he ,	nn::prpn cm::gen nv::nv verb::vv e::pst.ptcp mark::comma
bagadarhan monggo i juwe niyalma uka me ji he ,	nn::prpn.person nv::nv cm::gen nv::nv nv::nv verb::vv e::cve verb::vv e::pst.ptcp mark::comma
muwa hetu emu da sabu ha .	nv::adj nv::adj nv::nv nv::nv verb::vv e::pst.ptcp mark::period
anafu te me gene he niyalma ,	nv::nv verb::vv e::cve verb::vv e::pst.ptcp nv::nv mark::comma
jarut i uijeng beile de elcin gene he niyalma i yalu ha nadan morin ,	nn::prpn.plc cm::gen nn::prpn.person nv::nv cm::dat nv::nv verb::vv e::pst.ptcp nv::nv cm::gen verb::vv e::pst.ptcp nv::nv nv::nv mark::comma
šajin ,	nv::nv mark::comma
gecuheri suje ,	nv::nv nv::nv mark::comma
igen godohon mangga ehe kai ,	nv::nv nv::adj nv::adj nv::adj ptcl mark::comma
uji he ujima ,	verb::vv e::pst.ptcp nv::nv mark::comma
ajige_age emu niru i tofohoto uksin i cooha be gai fi gene he ,	nn::prpn nv::nv nv::nv cm::gen nv::nv nv::nv cm::gen nv::nv cm::acc verb::vv e::cve verb::vv e::pst.ptcp mark::comma
nunggan_subargan ci ebsi ,	nn::prpn cm::abl nv::nv mark::comma
○ neodei ,	mark::circle nn::prpn.person mark::comma
moobari tsanjiyang emu minggan cooha be gai fi ,	nn::prpn.person nv::nv nv::nv nv::nv nv::nv cm::acc verb::vv e::cve mark::comma
tere abka ambula wakala fi tuttu wabu habi dere ,	nv::nv nv::nv nv::nv verb::vv e::cve nv::nv verb::vv e::fve.prs.prf ptcl mark::comma
haha i ton ,	nv::nv cm::gen nv::nv mark::comma
ša_ling hecen de dosimbu ha ,	nn::prpn nv::nv cm::dat verb::vv e::pst.ptcp mark::comma
○ abutu_baturu be ,	mark::circle nn::prpn cm::acc mark::comma
gūwa be min i gai ha ba be ,	nv::nv cm::acc pn::1sg cm::gen verb::vv e::pst.ptcp nv::nv cm::acc mark::comma
baduhū ,	nn::prpn.person mark::comma
○ da_he_šan ,	mark::circle nn::prpn mark::comma
ulha akū niyalma de ,	nv::nv nv::adj nv::nv cm::dat mark::comma
tuttu o ci ,	nv::nv verb::vv e::cve mark::comma
○ sabitu i weile be bošo me goida ha seme ,	mark::circle nn::prpn.person cm::gen nv::nv cm::acc verb::vv e::cve verb::vv e::pst.ptcp comp mark::comma
honin juwe ,	nv::nv nv::nv mark::comma
fejergi niyalma de ulin gaija rakū ,	nv::nv nv::nv cm::dat nv::nv verb::vv e::npst.ptcp.neg mark::comma
tari ha usin ,	verb::vv e::pst.ptcp nv::nv mark::comma
guwangning de tebu ∅ ,	nn::prpn.plc cm::dat verb::vv e::fve.imperative mark::comma
tere ba i ama eme ,	nv::nv nv::nv cm::gen nv::nv nv::nv mark::comma
sunjata jergi etuku bu he ,	nv::nv nv::nv nv::nv verb::vv e::pst.ptcp mark::comma
baisanggū ,	nn::prpn.person mark::comma
gemu emu hecen de te fi ,	nv::nv nv::nv nv::nv cm::dat verb::vv e::cve mark::comma
jeku kargibu rahū ,	nv::nv verb::vv e::fve.prv mark::comma
doro be beye de ali rakū ,	nv::nv cm::acc nv::nv cm::dat verb::vv e::npst.ptcp.neg mark::comma
gašan bošokū šeo_pu de duite ,	nv::nv nv::nv nv::nv cm::dat nv::nv mark::comma
boo jeku usin bu me jobo mbi se ci ,	nv::nv nv::nv nv::nv verb::vv e::cve verb::vv e::fve.npst verb::vv e::cve mark::comma
han'_yūn be iogi obu ha ,	nn::prpn cm::acc nv::nv verb::vv e::pst.ptcp mark::comma
tuttu tondo i fafula rakū ehe miosihon jurgan i banji ci ,	nv::nv nv::adj cm::gen verb::vv e::npst.ptcp.neg nv::adj nv::adj nv::nv cm::gen verb::vv e::cve mark::comma
jeng_an_pu i anggala i ton ,	nn::prpn cm::gen nv::nv cm::gen nv::nv mark::comma
○ orin nadan de ,	mark::circle nv::nv nv::nv cm::dat mark::comma
nikan i hūng_u_han duri fi te he se re ,	nv::nv cm::gen nn::prpn verb::vv e::cve verb::vv e::pst.ptcp verb::vv e::npst.ptcp mark::comma
ehe o ci ehe seme ala ∅ .	nv::adj verb::vv e::cve nv::adj comp verb::vv e::fve.imperative mark::period
jai boo de banji re de ,	nv::nv nv::nv cm::dat verb::vv e::npst.ptcp cm::dat mark::comma
duin duka de men i niyalma tuwakiyabu mbi ,	nv::nv nv::nv cm::dat pn::1pl.excl cm::gen nv::nv verb::vv e::fve.npst mark::comma
jeku ilan tanggū juwan emu hule ,	nv::nv nv::nv nv::nv nv::nv nv::nv nv::nv mark::comma
cooha bargiyabu fi jai aika baita tuci re ngge ,	nv::nv verb::vv e::cve nv::nv nv::nv nv::nv verb::vv e::npst.ptcp nmlz::nmlz mark::comma
encu hala i gurun waka ,	nv::nv nv::nv cm::gen nv::nv nv::adj mark::comma
eigen de waka sabu mbi ,	nv::nv cm::dat nv::adj verb::vv e::fve.npst mark::comma
julge sahaliyan_ula ,	nv::nv nn::prpn mark::comma
ere ci amasi ,	nv::nv cm::abl nv::nv mark::comma
jorgon biya i tofohon de ,	nv::nv nv::nv cm::gen nv::nv cm::dat mark::comma
hing_šan ,	nn::prpn mark::comma
yungji ,	nn::prpn.person mark::comma
men i ama ,	pn::1pl.excl cm::gen nv::nv mark::comma
ilan tanggū gūsin niyalma gemu tuci ke ,	nv::nv nv::nv nv::nv nv::nv nv::nv verb::vv e::pst.ptcp mark::comma
